title,company,location,date,url,department,workplace_type,level,source,position_type
עובד/ת מעבדה במכון לאלרגיה ואימונולוגיה במרכז הרפואי שמיר,111111,,2026-05-20,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%91%d7%9e%d7%9b%d7%95%d7%9f-%d7%9c%d7%90%d7%9c%d7%a8%d7%92%d7%99%d7%94-%d7%95%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%95%d7%9c%d7%95%d7%92/,,onsite,junior,huji,
ליחידת הIVF בתאגיד הבריאות שמיר דרוש/ה מזכיר/ה אחראי/ת,111111,,2026-05-20,https://hujicareer.co.il/jobs/%d7%9c%d7%99%d7%97%d7%99%d7%93%d7%aa-%d7%94ivf-%d7%91%d7%aa%d7%90%d7%92%d7%99%d7%93-%d7%94%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa-%d7%a9%d7%9e%d7%99%d7%a8-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%96/,,onsite,junior,huji,
לבורנט/ית B. Sc. במדעי הטבע,c3,ירושלים,2026-05-20,https://hujicareer.co.il/jobs/%d7%9c%d7%91%d7%95%d7%a8%d7%a0%d7%98-%d7%99%d7%aa-b-sc-%d7%91%d7%9e%d7%93%d7%a2%d7%99-%d7%94%d7%98%d7%91%d7%a2/,,onsite,junior,huji,
"פסיכולוג/ית מיון במחלקת מדעי ההתנהגות בשב""ס",שבס-שירות-בתי-הסוהר-שירות-לקוחות-לוגו,,2026-05-20,https://hujicareer.co.il/jobs/%d7%a4%d7%a1%d7%99%d7%9b%d7%95%d7%9c%d7%95%d7%92-%d7%99%d7%aa-%d7%9e%d7%99%d7%95%d7%9f-%d7%91%d7%9e%d7%97%d7%9c%d7%a7%d7%aa-%d7%9e%d7%93%d7%a2%d7%99-%d7%94%d7%94%d7%aa%d7%a0%d7%94%d7%92%d7%95%d7%aa/,,onsite,junior,huji,
רכזת אופרציה ומטה לחברת ייעוץ טכנולוגית ל-IT & Data Center,c3,תל אביב,2026-05-20,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96%d7%aa-%d7%90%d7%95%d7%a4%d7%a8%d7%a6%d7%99%d7%94-%d7%95%d7%9e%d7%98%d7%94-%d7%9c%d7%97%d7%91%d7%a8%d7%aa-%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92/,,onsite,junior,huji,
יועץ לובי וקשרי ממשל,c3,ירושלים,2026-05-20,https://hujicareer.co.il/jobs/%d7%99%d7%95%d7%a2%d7%a5-%d7%9c%d7%95%d7%91%d7%99-%d7%95%d7%a7%d7%a9%d7%a8%d7%99-%d7%9e%d7%9e%d7%a9%d7%9c/,,onsite,junior,huji,
Operations & Admin Associate at Bio-tech Startup,Screenshot 2026-05-19 134031,ירושלים,2026-05-19,https://hujicareer.co.il/jobs/operations-admin-associate-at-bio-tech-startup/,,onsite,junior,huji,
לתוכנית גרעיני אודי דרושים/ות רכזים/ות,budi_logo,,2026-05-19,https://hujicareer.co.il/jobs/7728/,,onsite,junior,huji,
ראש תחום למענים סוציאליים באגף שיקום – פתח תקווה,לוגו משרד הביטחון,פתח תקווה,2026-05-19,https://hujicareer.co.il/jobs/%d7%a8%d7%90%d7%a9-%d7%aa%d7%97%d7%95%d7%9d-%d7%9c%d7%9e%d7%a2%d7%a0%d7%99%d7%9d-%d7%a1%d7%95%d7%a6%d7%99%d7%90%d7%9c%d7%99%d7%99%d7%9d-%d7%91%d7%90%d7%92%d7%a3-%d7%a9%d7%99%d7%a7%d7%95%d7%9d/,,onsite,junior,huji,
סטודנט במחוז דרום במשרד הפנים בבאר שבע,משרד הפנים לוגו,באר שבע,2026-05-19,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%91%d7%9e%d7%97%d7%95%d7%96-%d7%93%d7%a8%d7%95%d7%9d-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%a4%d7%a0%d7%99%d7%9d-%d7%91%d7%91%d7%90%d7%a8-%d7%a9%d7%91%d7%a2/,,onsite,junior,huji,
