title,company,location,url,date,deadline,department,description,requirements,position_type
פקח מסייע (שיטור עירוני),כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55695/1,2026-06-25,2026-07-09,חירום ובטחון,"רשות: כפר סבא · מחוז: מרכז · יחידה: חירום וביטחון · תחום: חירום ובטחון · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 82/26",12 שנות לימוד; בגרות,
פקח מסייע (שיטור עירוני),כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55696/1,2026-06-25,2026-07-09,חירום ובטחון,"רשות: כפר סבא · מחוז: מרכז · יחידה: חירום וביטחון · תחום: חירום ובטחון · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 83/26",12 שנות לימוד; בגרות,
אחר,כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55697/1,2026-06-25,2026-07-09,רווחה,רשות: כפר סבא · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 85/26,אקדמאית / חילופית בהתאם לחוק,
מנהל בית נוער,כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55698/1,2026-06-25,2026-07-09,נוער תרבות וספורט,רשות: כפר סבא · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 86/26,12 שנות לימוד,
מנהל יחידת נוער,חריש,חריש,https://namerz.moin.gov.il/showexternal/55701/2,2026-06-25,2026-07-09,נוער תרבות וספורט,רשות: חריש · מחוז: חיפה · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 59/26,אקדמאית / חילופית בהתאם לחוק,
אחר,תמר,תמר,https://namerz.moin.gov.il/showexternal/55706/1,2026-06-25,2026-07-09,הנדסה,רשות: תמר · מחוז: דרום · יחידה: הנדסה · תחום: הנדסה · רמת השכלה: אדריכל / מהנדס · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 26/(2)13,אדריכל / מהנדס,
פקח סבבתי,ראש העין,ראש העין,https://namerz.moin.gov.il/showexternal/55721/1,2026-06-25,2026-07-09,הגנת הסביבה,"רשות: ראש העין · מחוז: מרכז · יחידה: הגנת הסביבה · תחום: הגנת הסביבה · דירוג: מנהלי · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 43/2026",12 שנות לימוד; בגרות,
חשב שכר,ראש העין,ראש העין,https://namerz.moin.gov.il/showexternal/55723/1,2026-06-25,2026-07-09,כספים,"רשות: ראש העין · מחוז: מרכז · יחידה: כספים כללי · תחום: כספים · דירוג: מנהלי/מח""ר · רמת השכלה: 12 שנות לימוד, בגרות, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 1019/2026",12 שנות לימוד; בגרות; קורסים נוספים כמפורט בקובץ,
עובד סוציאלי,ראש העין,ראש העין,https://namerz.moin.gov.il/showexternal/55725/1,2026-06-25,2026-07-09,רווחה,"רשות: ראש העין · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: עו""סים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 1020/2026",אקדמאית / חילופית בהתאם לחוק,
אחר,שוהם,שוהם,https://namerz.moin.gov.il/showexternal/55688/3,2026-06-26,2026-07-09,חירום ובטחון,"רשות: שוהם · מחוז: מרכז · יחידה: חירום וביטחון · תחום: חירום ובטחון · דירוג: 6-8, 36-38 · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-26 · מועד הגשה: 2026-07-09 · מספר מכרז: 25/26",12 שנות לימוד; בגרות,
תובע עירוני,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55664/1,2026-06-24,2026-07-09,משפטי,רשות: קרית שמונה · מחוז: צפון · יחידה: משפטי · תחום: משפטי · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 91,אקדמאית / חילופית בהתאם לחוק,
אחר,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55666/1,2026-06-24,2026-07-09,רווחה,רשות: קרית שמונה · מחוז: צפון · יחידה: רווחה · תחום: רווחה · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 71,אקדמאית / חילופית בהתאם לחוק,
"עו""ס קהילה",קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55667/1,2026-06-24,2026-07-09,רווחה,רשות: קרית שמונה · מחוז: צפון · יחידה: רווחה · תחום: רווחה · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 99,אקדמאית / חילופית בהתאם לחוק,
ממונה ניו מדיה וערוצי דיגיטל ביח' הדוברות,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55669/1,2026-06-24,2026-07-09,ניהול כללי,רשות: קרית שמונה · מחוז: צפון · יחידה: ניהול כללי · תחום: ניהול כללי · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 128,12 שנות לימוד,
מנהל יחידת תיירות,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55670/1,2026-06-24,2026-07-09,ניהול כללי,רשות: קרית שמונה · מחוז: צפון · יחידה: ניהול כללי · תחום: ניהול כללי · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 125,אקדמאית / חילופית בהתאם לחוק,
מנהל אגף לשירותים חברתיים,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55671/1,2026-06-24,2026-07-09,רווחה,רשות: קרית שמונה · מחוז: צפון · יחידה: רווחה · תחום: רווחה · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 70,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידה לפיתוח כלכלי ומיצוי משאבים ברשות,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55672/1,2026-06-24,2026-07-09,כספים,רשות: קרית שמונה · מחוז: צפון · יחידה: כספים כללי · תחום: כספים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 129,אקדמאית / חילופית בהתאם לחוק,
מנהל מחלקה גנרי,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55673/1,2026-06-24,2026-07-09,ניהול כללי,רשות: קרית שמונה · מחוז: צפון · יחידה: ניהול כללי · תחום: ניהול כללי · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 78,אקדמאית / חילופית בהתאם לחוק,
עובד קידום נוער/עובד חינוך טיפול בקידום נוער,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55674/1,2026-06-24,2026-07-09,נוער תרבות וספורט,רשות: קרית שמונה · מחוז: צפון · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 124,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת נכסים,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55675/1,2026-06-24,2026-07-09,כספים,רשות: קרית שמונה · מחוז: צפון · יחידה: כספים כללי · תחום: כספים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 98,אקדמאית / חילופית בהתאם לחוק,
אחר,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55676/1,2026-06-24,2026-07-09,שפע ותשתיות,"רשות: קרית שמונה · מחוז: צפון · יחידה: שפ""ע ותשתיות · תחום: שפע ותשתיות · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 116",12 שנות לימוד,
עובד אחזקה,קרית שמונה,קרית שמונה,https://namerz.moin.gov.il/showexternal/55677/1,2026-06-24,2026-07-09,ניהול כללי,רשות: קרית שמונה · מחוז: צפון · יחידה: ניהול כללי · תחום: ניהול כללי · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 123,12 שנות לימוד,
