title,company,location,date,url,department,workplace_type,level,source,position_type
סטודנט/ית למשפטים (לשכה משפטית) במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%9d-%d7%9c%d7%a9%d7%9b%d7%94-%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%aa-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91/,,onsite,junior,huji,
סטודנט/ית - אגף רישוי מקצועות במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%90%d7%92%d7%a3-%d7%a8%d7%99%d7%a9%d7%95%d7%99-%d7%9e%d7%a7%d7%a6%d7%95%d7%a2%d7%95%d7%aa-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%a8%d7%99/,,onsite,junior,huji,
סטודנט/ית רוקחות/מדעי החיים/ביואינפורמטי במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a8%d7%95%d7%a7%d7%97%d7%95%d7%aa-%d7%9e%d7%93%d7%a2%d7%99-%d7%94%d7%97%d7%99%d7%99%d7%9d-%d7%91%d7%99%d7%95%d7%90%d7%99%d7%a0%d7%a4%d7%95%d7%a8/,,onsite,junior,huji,
סטודנט/ית מרכזים רפואיים במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9e%d7%a8%d7%9b%d7%96%d7%99%d7%9d-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%99%d7%9d-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%a8%d7%99%d7%90%d7%95/,,onsite,junior,huji,
סטודנט/ית (קנביס רפואי) במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a7%d7%a0%d7%91%d7%99%d7%a1-%d7%a8%d7%a4%d7%95%d7%90%d7%99-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa/,,onsite,junior,huji,
דרוש/ה סטודנט/ית (קיצור תורים לדימות),HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a7%d7%99%d7%a6%d7%95%d7%a8-%d7%aa%d7%95%d7%a8%d7%99%d7%9d-%d7%9c%d7%93%d7%99%d7%9e%d7%95%d7%aa/,,onsite,junior,huji,
סטודנט/ית ניו מדיה (מדיה חדשה ואינטרנט),HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a0%d7%99%d7%95-%d7%9e%d7%93%d7%99%d7%94-%d7%9e%d7%93%d7%99%d7%94-%d7%97%d7%93%d7%a9%d7%94-%d7%95%d7%90%d7%99%d7%a0%d7%98%d7%a8%d7%a0%d7%98/,,onsite,junior,huji,
סטודנט/ית רישום תכשירים רפואיים במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a8%d7%99%d7%a9%d7%95%d7%9d-%d7%aa%d7%9b%d7%a9%d7%99%d7%a8%d7%99%d7%9d-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%99%d7%9d-%d7%91%d7%9e%d7%a9%d7%a8%d7%93/,,onsite,junior,huji,
דרוש/ה סטודנט/ית התפתחות הילד במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%94%d7%aa%d7%a4%d7%aa%d7%97%d7%95%d7%aa-%d7%94%d7%99%d7%9c%d7%93-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%a8/,,onsite,junior,huji,
דרוש/ה סטודנט/ית פסיכולוגיה במשרד הבריאות,HUJI Career,תל אביב,2026-06-03,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a4%d7%a1%d7%99%d7%9b%d7%95%d7%9c%d7%95%d7%92%d7%99%d7%94-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%a8%d7%99/,,onsite,junior,huji,
סטודנט/ית בתחום הרווחה אגף בכיר למידה ורווחה ארגונית בנציבות שירות המדינה,Israeli_Civil_Service_Commission.svg,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%91%d7%aa%d7%97%d7%95%d7%9d-%d7%94%d7%a8%d7%95%d7%95%d7%97%d7%94-%d7%90%d7%92%d7%a3-%d7%91%d7%9b%d7%99%d7%a8-%d7%9c%d7%9e%d7%99%d7%93%d7%94-%d7%95/,,onsite,junior,huji,
לאגף ההנדסה והבינוי במשרד הביטחון דרוש/ה ר' תחום התקשרויות עם מתכננים,לוגו משרד הביטחון,פתח תקווה,2026-06-03,https://hujicareer.co.il/jobs/%d7%9c%d7%90%d7%92%d7%a3-%d7%94%d7%94%d7%a0%d7%93%d7%a1%d7%94-%d7%95%d7%94%d7%91%d7%99%d7%a0%d7%95%d7%99-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%99%d7%98%d7%97%d7%95%d7%9f-%d7%93%d7%a8%d7%95-2/,,onsite,junior,huji,
